客户管理模块 — 测试用例表,,,,,,,
生成日期:2026-06-04 | 用例总数:60 | P0:16 | P1:35 | P2:9,,,,,,,
,,,,,,,
用例标题,所属模块,优先级,前置条件,测试步骤,测试数据,预期结果,实际结果
  功能测试 (13条),,,,,,,
客户管理-页面加载-正常显示列表,客户管理,P0,"1.admin账号已登录
2.进入销售管理>客户管理","1.点击侧边栏「销售管理」→「客户管理」
2.等待页面加载完成",URL: #/sales/customer,"1.URL含#/sales/customer
2.面包屑:销售管理/客户管理
3.表头7列:客户编码/名称/联系人/电话/等级/状态/操作
4.分页显示「共N条」",✓ PASS. 总条数「共3条」;表头7列完整匹配;3条数据加载正常
客户管理-关键字搜索-模糊匹配客户名称,客户管理,P1,"1.admin账号已登录
2.客户列表中存在「四川化工」","1.输入「四川化工」到搜索框
2.点击「查询」",关键字: 四川化工,"1.表格仅显示名称含「四川化工」的记录
2.分页更新为匹配条数",✓ PASS. 返回1条:四川化工股份有限公司(张郝/134****5567/一般客户/合作中)
客户管理-等级筛选-下拉选择客户等级,客户管理,P1,1.admin账号已登录,"1.点击客户等级下拉→选择「战略客户」
2.点击「查询」",客户等级: 战略客户,1.表格仅显示等级为「战略客户」的记录,✓ PASS. ActionChains键盘导航绕过popper;等级列全部「战略客户」
客户管理-状态筛选-下拉选择合作状态,客户管理,P1,1.admin账号已登录,"1.点击合作状态下拉→选择「合作中」
2.点击「查询」",合作状态: 合作中,1.表格仅显示状态为「合作中」的记录,✓ PASS. placeholder XPath定位+键盘选择;状态列全部「合作中」
客户管理-重置搜索-清空所有条件,客户管理,P1,1.搜索区有已输入条件,"1.输入关键字+选择等级+选择状态
2.点击「重置」",—,"1.搜索框清空
2.下拉恢复默认
3.表格恢复全量数据",✓ PASS. 关键字清空;下拉恢复;表格恢复3条全量
客户管理-分页-翻页按钮状态,客户管理,P1,"1.admin账号已登录
2.客户列表3条数据","1.观察分页组件
2.点击「下一页」/「上一页」","总条数:3,单页","1.首页时「上一页」disabled
2.末页时「下一页」disabled",✓ PASS. 单页3条;prev和next均disabled(is-last)
客户管理-新增客户-填写全部11字段,客户管理,P0,"1.admin账号已登录
2.具有新增客户权限","1.点击「新增客户」
2.依次填写:编码/名称/信用代码/等级/联系人/电话/财务联系人/财务电话/地址/状态/备注
3.点击「保存」","编码:自动生成时间戳
名称:测试客户_xxxx
信用代码:91310000MA1ABCD1XY(18位)
等级:重要客户
联系人:测试联系人
电话:13800138000
地址:测试地址
状态:合作中
备注:自动化测试创建","1.Toast提示「新增成功」
2.弹窗关闭
3.表格刷新可见新记录","△ XPASS. JS轮询popper→强制click选择下拉;弹窗打开/输入/保存OK;间歇性(popper visibility:hidden,~40%)"
客户管理-新增客户-仅填写必填字段,客户管理,P1,1.admin账号已登录,"1.填写所有必填字段(编码/名称/信用代码/等级/联系人/电话/地址/状态)
2.非必填字段留空
3.点击「保存」",必填字段值同上;财务联系人/财务电话/备注留空,"1.保存成功
2.详情中非必填字段显示为空",✓ PASS. 仅必填字段保存成功;非必填字段详情中为空
客户管理-查看详情-点击查看按钮,客户管理,P1,"1.admin账号已登录
2.客户列表中有数据","1.点击第一行「查看」按钮
2.等待弹窗打开",—,"1.弹窗标题「客户详情」
2.展示完整客户信息
3.字段只读",✓ PASS. XPath定位第一行按钮+JS点击;弹窗打开显示详情
客户管理-编辑客户-修改基本信息,客户管理,P0,"1.admin账号已登录
2.存在可编辑客户","1.搜索目标客户编码
2.点击「编辑」
3.修改名称/联系人/电话
4.点击「保存」","新名称:xxx_已修改
联系人:已修改联系人
电话:13900139000","1.Toast「编辑成功」
2.表格中名称已更新",△ XPASS. 编辑弹窗打开OK;下拉选择间歇性受影响
客户管理-资质维护-点击打开弹窗,客户管理,P1,1.admin账号已登录,1.点击行内「资质维护」按钮,—,"1.资质维护弹窗正常打开
2.可正常关闭",✓ PASS. 资质维护弹窗正常打开并关闭
客户管理-终止合作-状态变更为已终止,客户管理,P1,"1.admin账号已登录
2.存在合作中客户","1.编辑客户→选择合作状态「终止合作」
2.保存
3.（测试后恢复为合作中）",合作状态: 终止合作,"1.状态列显示「终止合作」
2.标签CSS: sales-status-tag--terminated",✓ PASS. 终止合作保存成功;状态标签变更正确;已恢复原状态
客户管理-变更等级-标签CSS更新,客户管理,P1,"1.admin账号已登录
2.存在一般客户","1.编辑客户→选择等级「战略客户」
2.保存
3.验证标签CSS变化
4.（恢复原等级）",客户等级: 战略客户,"1.等级列显示「战略客户」
2.标签CSS变更",✓ PASS. 等级变更→标签随动;已恢复原等级
  UI测试 (6条),,,,,,,
客户管理-UI-必填字段红色星号标识,客户管理,P1,1.admin账号已登录,"1.点击「新增客户」
2.观察弹窗表单各字段label",—,"1.必填字段label前有红色*:编码/名称/信用代码/等级/联系人/电话/地址/状态
2.非必填字段无*:财务联系人/财务电话/备注",✓ 手工PASS. 必填8字段均有红色星号;非必填3字段无星号
客户管理-UI-信用代码blur实时校验,客户管理,P1,"1.admin账号已登录
2.打开新增弹窗","1.信用代码输入15位
2.blur失焦",信用代码: 91310000MA1ABC(15位),"1.输入框下方红色提示「信用代码须为18位」
2.补全至18位后错误消失",✓ 手工PASS. 15位→红色提示;补全18位→错误消失
客户管理-UI-手机号blur实时校验,客户管理,P1,"1.admin账号已登录
2.打开新增弹窗","1.联系电话输入非法字符
2.blur失焦",电话: 非数字字符,1.输入框下方红色提示格式错误,✓ 手工PASS. 非数字→前端正则校验提示
客户管理-UI-弹窗取消按钮,客户管理,P2,"1.admin账号已登录
2.打开新增弹窗","1.填写部分字段
2.点击「取消」
3.再次打开新增弹窗",—,"1.弹窗关闭
2.列表未增加
3.再次打开表单已重置为空",✓ 手工PASS. 取消关闭弹窗;列表未增加;表单已重置
客户管理-UI-遮罩层关闭弹窗,客户管理,P2,"1.admin账号已登录
2.打开新增弹窗",1.点击弹窗外的遮罩区域(el-overlay),—,"1.弹窗关闭
2.表单数据重置",✓ 手工PASS. 遮罩点击关闭弹窗;表单重置
客户管理-UI-keep-alive标签页缓存,客户管理,P2,"1.admin账号已登录
2.在客户管理页执行搜索","1.搜索「四川化工」→显示结果
2.切换到合同管理标签页
3.切回客户管理标签页",搜索关键字: 四川化工,"1.切回后搜索条件保留
2.表格数据与之前一致",✓ 手工PASS. 搜索条件保留;表格数据一致;keep-alive缓存正常
  边界值测试 (13条),,,,,,,
客户管理-边界-信用代码少于18位,客户管理,P1,"1.admin账号已登录
2.打开新增弹窗","1.信用代码输入15位
2.其他必填正常填写
3.点击「保存」",信用代码: 91310000MA1ABC(15位),"1.保存失败
2.form-error校验拦截",✓ PASS. 15位信用代码→form-error拦截;弹窗保留
客户管理-边界-信用代码恰好18位(正向),客户管理,P1,"1.admin账号已登录
2.打开新增弹窗","1.信用代码输入恰好18位
2.其他必填正常填写
3.点击「保存」",信用代码: 91310000MA1ABCD5XY(18位),"1.保存成功
2.18位边界值正常提交",✓ PASS. 18位信用代码正常提交
